"Year	",Population
Spring 2008,86.75
"Autumn 2008	",89.8
"Spring 2009	",92.48
"Autumn 2009	",95.29
"Spring 2010	",96.93
"Autumn 2010	",97.91
"Spring 2011		",96.44
"Autumn 2011		",96.27
"Spring 2012		",98.32
"Autumn 2012	",100.42
"Spring 2013	",103.12
"Autumn 2013	",104.24
"Spring 2014	",103.55
"Autumn 2014		",103.8
"Spring 2015		",103.23
"Autumn 2015		",102.82
"Spring 2016		",104.29
"Autumn 2016		",105.29
"Spring 2017	",108.23
